epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,64.5143,3.68351,10.9639,3.28617,0.7121,0.09192,0.06521,0.02574,4.0088,6.12769,3.49006,0.0002363,0.0002363,0.0002363
2,128.767,3.73182,6.07239,3.24709,0.64946,0.12117,0.09814,0.04488,4.08837,5.94356,3.66042,0.000464909,0.000464909,0.000464909
3,192.989,3.94527,5.79318,3.36344,0.47683,0.13387,0.07435,0.02959,4.25343,6.88563,3.44997,0.000684093,0.000684093,0.000684093
4,257.461,3.91914,5.58963,3.34093,0.63167,0.12218,0.08555,0.03853,4.137,5.82635,3.35304,0.000671588,0.000671588,0.000671588
5,322.46,3.96121,5.51608,3.37163,0.54029,0.18498,0.11748,0.05825,4.91827,5.95983,3.93236,0.000657451,0.000657451,0.000657451
6,389.696,3.84203,5.23,3.33867,0.56521,0.14354,0.14972,0.06431,3.85787,5.12304,3.18519,0.000643314,0.000643314,0.000643314
7,456.24,3.64982,4.78407,3.18803,0.14362,0.21667,0.13838,0.06929,3.75684,4.80811,3.09066,0.000629177,0.000629177,0.000629177
8,525.414,3.67861,4.83827,3.22194,0.29877,0.19108,0.1764,0.08352,3.65394,4.73842,3.13056,0.00061504,0.00061504,0.00061504
9,593.82,3.6144,4.66724,3.15189,0.23519,0.30478,0.21497,0.09501,3.60661,4.72968,3.02555,0.000600902,0.000600902,0.000600902
10,664.22,3.48622,4.38213,3.07929,0.17856,0.28094,0.18165,0.0814,3.78682,4.61403,3.09922,0.000586765,0.000586765,0.000586765
11,735.095,3.49753,4.26328,3.10384,0.5075,0.31536,0.21631,0.09214,3.86625,4.56239,3.1497,0.000572628,0.000572628,0.000572628
12,806.767,3.44793,4.09549,3.05319,0.45915,0.27336,0.18011,0.08123,4.05228,4.3675,3.15953,0.000558491,0.000558491,0.000558491
13,870.738,3.39817,4.12571,3.01647,0.27274,0.26595,0.20994,0.09967,3.67518,4.48953,3.04486,0.000544354,0.000544354,0.000544354
14,935.856,3.33912,3.96365,2.97331,0.41212,0.29944,0.20784,0.09876,3.93415,4.16771,3.30844,0.000530216,0.000530216,0.000530216
15,1001.83,3.39111,3.9961,3.02177,0.39056,0.31917,0.20709,0.10104,3.71707,4.12226,2.97746,0.000516079,0.000516079,0.000516079
16,1070.03,3.27985,3.77858,2.96523,0.30645,0.25677,0.16155,0.07597,3.86247,4.23602,3.01937,0.000501942,0.000501942,0.000501942
17,1138.15,3.21446,3.66709,2.921,0.24899,0.23859,0.19223,0.09682,3.52974,4.41463,2.86909,0.000487805,0.000487805,0.000487805
18,1204.62,3.18086,3.60951,2.91955,0.23424,0.22744,0.18733,0.08047,3.65075,4.21395,2.798,0.000473668,0.000473668,0.000473668
19,1274.26,3.19653,3.49725,2.8496,0.35996,0.26572,0.22441,0.10429,3.69677,4.32407,3.03974,0.00045953,0.00045953,0.00045953
20,1346.07,3.13903,3.58631,2.88649,0.41239,0.33707,0.23474,0.10575,3.75707,4.47557,3.11541,0.000445393,0.000445393,0.000445393
21,1421.17,3.08296,3.27407,2.80394,0.32527,0.27598,0.24208,0.11645,3.71456,4.22578,3.13387,0.000431256,0.000431256,0.000431256
22,1496.46,3.13665,3.36716,2.81446,0.42774,0.35517,0.26912,0.13358,3.98873,4.2467,3.25807,0.000417119,0.000417119,0.000417119
23,1572.58,3.06897,3.2524,2.81311,0.46153,0.2584,0.2449,0.11446,3.72584,4.40651,3.02853,0.000402982,0.000402982,0.000402982
24,1647.05,3.02248,3.15759,2.7507,0.296,0.31027,0.23054,0.11542,3.67146,3.87185,3.01559,0.000388844,0.000388844,0.000388844
25,1697.37,2.95198,3.03399,2.72402,0.36048,0.37427,0.28564,0.12311,3.66869,3.95363,2.9527,0.000374707,0.000374707,0.000374707
26,1747.41,2.95768,2.99119,2.69732,0.44665,0.32354,0.27406,0.13683,3.67419,3.98821,2.89902,0.00036057,0.00036057,0.00036057
27,1797.98,2.93211,2.93962,2.73931,0.3837,0.37191,0.23938,0.12789,3.84361,4.13129,3.1163,0.000346433,0.000346433,0.000346433
28,1849.13,2.86861,2.90419,2.70586,0.35853,0.41198,0.28449,0.13688,3.50459,4.07274,2.86012,0.000332296,0.000332296,0.000332296
29,1900,2.8617,2.82516,2.64164,0.42822,0.38011,0.30681,0.15298,3.57146,3.95564,2.91849,0.000318158,0.000318158,0.000318158
30,1950.89,2.84501,2.84482,2.67198,0.40499,0.30957,0.2669,0.13745,3.72039,4.65205,2.9572,0.000304021,0.000304021,0.000304021
